trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK0970.DC,生物识别,-0.93,1678.41,40181.016,-3.76,-269852192.0,-2.19,-194521344.0,-1.58,59722528.0,0.48,401810160.0,3.26,共达电声,22,5972.2528,-19452.1344,26701.134400000006
20260403,概念,BK0993.DC,宠物经济,-3.2,909.29,47692.064,-4.3,-384095552.0,-3.54,-82183968.0,-0.76,-34449312.0,-0.32,476920640.0,4.4,中宠股份,23,-3444.9312,-8218.3968,36028.736
20260403,概念,BK0894.DC,阿兹海默,-2.92,2152.13,54393.2768,-5.03,-189235792.0,-2.04,-278631440.0,-3.0,-76065536.0,-0.82,543932768.0,5.85,广誉远,24,-7606.5536,-27863.144,18923.5792
20260403,概念,BK0823.DC,养老金,-1.6,1665.79,144578.048,-0.81,375487232.0,0.65,-843430912.0,-1.45,-977836800.0,-1.69,1445780480.0,2.49,亨通光电,25,-97783.68,-84343.0912,-37548.72319999998
20260403,概念,BK1066.DC,民爆概念,-2.66,1638.41,53176.5152,-10.21,-192582804.0,-4.16,-280163440.0,-6.05,-59018896.0,-1.27,531765152.0,11.49,易普力,26,-5901.8896,-28016.344,19258.2816
20260403,概念,BK1063.DC,重组蛋白,-2.75,1110.06,46058.6416,-5.3,-316911680.0,-3.52,-160618208.0,-1.78,6508928.0,0.07,460586416.0,5.11,三生国健,27,650.8928,-16061.8208,30647.713600000003
20260403,概念,BK0578.DC,稀土永磁,-1.64,3295.86,69985.9968,-2.06,-271725456.0,-1.16,-210660352.0,-0.9,-232684544.0,-0.99,699859968.0,2.98,包钢股份,28,-23268.4544,-21066.0352,25651.507199999993
20260403,概念,BK0924.DC,地摊经济,-2.12,1953.3,40438.5904,-8.58,-258152432.0,-4.47,-236911584.0,-4.1,90678112.0,1.57,404385904.0,7.01,福田汽车,29,9067.8112,-23691.1584,25815.243199999997
20260403,概念,BK0632.DC,土地流转,-3.57,1815.87,28723.84,-6.26,-254721632.0,-3.18,-245828720.0,-3.07,213311968.0,2.67,287238400.0,3.59,杭钢股份,30,21331.1968,-24582.872,25472.164800000002
20260403,概念,BK1130.DC,时空大数据,-2.02,1537.03,52213.504,-5.9,-198469392.0,-2.33,-303366128.0,-3.56,-27693536.0,-0.33,522135040.0,6.13,华胜天成,31,-2769.3536,-30336.6128,19107.5376
20260403,概念,BK1009.DC,元宇宙概念,-1.71,2211.12,50324.5056,-1.06,-245180048.0,-0.51,-268760576.0,-0.56,6141184.0,0.01,503245056.0,1.04,东方国信,32,614.1184,-26876.0576,24062.566399999996
20260403,概念,BK1102.DC,空气能热泵,-2.62,1611.25,29941.6576,-3.95,-175989984.0,-1.35,-338704864.0,-2.6,215278352.0,1.65,299416576.0,2.3,大元泵业,33,21527.8352,-33870.4864,17599.0064
20260403,概念,BK1110.DC,Web3.0,-1.91,1847.56,67929.8304,-2.76,-239757536.0,-1.26,-284910592.0,-1.5,-154630144.0,-0.81,679298304.0,3.58,东方国信,34,-15463.0144,-28491.0592,23975.756800000006
20260403,概念,BK0862.DC,超级真菌,-3.38,1195.48,54079.8592,-5.76,-212020944.0,-2.32,-314201728.0,-3.44,-14575920.0,-0.16,540798592.0,5.92,博瑞医药,35,-1457.592,-31420.1728,21202.0944
20260403,概念,BK0669.DC,生态农业,-4.21,1539.81,50925.392,-6.12,-321850496.0,-3.74,-205480800.0,-2.39,18077376.0,0.21,509253920.0,5.91,仙坛股份,36,1807.7376,-20548.08,32185.0496
20260403,概念,BK0974.DC,化妆品概念,-2.78,1263.95,51129.9408,-4.22,-195839072.0,-1.56,-334559104.0,-2.66,-14189584.0,-0.11,511299408.0,4.06,常山药业,37,-1418.9584,-33455.9104,16255.071999999993
20260403,概念,BK0832.DC,工业互联,-1.76,2563.46,118930.2784,-0.7,-188075776.0,-0.25,-343989248.0,-0.45,-708161024.0,-0.94,1189302784.0,1.57,中天科技,38,-70816.1024,-34398.9248,13715.251199999992
20260403,概念,BK0724.DC,海绵城市,-3.64,1025.39,48494.472,-8.07,-267872976.0,-4.06,-264309088.0,-4.01,47237328.0,0.72,484944720.0,7.36,伟星新材,39,4723.7328,-26430.9088,26787.296
20260403,概念,BK0991.DC,工程机械概念,-2.32,1715.15,26954.808,-4.44,-413394304.0,-3.4,-126865776.0,-1.04,239405952.0,1.97,269548080.0,2.21,川润股份,40,23940.5952,-12686.5776,38208.8256
20260403,概念,BK1169.DC,Kimi概念,-2.02,1207.69,54027.5104,-5.4,-203392576.0,-1.98,-351119680.0,-3.42,14237136.0,0.14,540275104.0,5.26,润泽科技,41,1423.7136,-35111.968,20339.256
20260403,概念,BK0961.DC,有机硅概念,-2.52,1760.83,53589.6432,-5.51,-398259984.0,-3.89,-166365536.0,-1.62,16716624.0,0.16,535896432.0,5.23,三孚股份,42,1671.6624,-16636.5536,38624.752
20260403,概念,BK0641.DC,智能穿戴,-0.93,3649.5,55410.3552,-0.92,-99320832.0,-0.16,-466848000.0,-0.76,-10271232.0,-0.02,554103552.0,0.9,兆易创新,43,-1027.1232,-46684.8,7698.431999999993
20260403,概念,BK0429.DC,交运设备,-3.1,11039.78,49926.8096,-7.17,-271714384.0,-3.35,-310359632.0,-3.82,47889712.0,0.59,499268096.0,6.15,中国通号,44,4788.9712,-31035.9632,23679.817600000002
20260403,概念,BK0697.DC,IPO受益,-2.25,3349.04,71852.6976,-2.72,-263142592.0,-1.23,-319308288.0,-1.49,-136076032.0,-0.63,718526976.0,3.35,华工科技,45,-13607.6032,-31930.8288,26314.265600000002
