ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1438.DC,20260401,合成树脂,上纬新材,688585.SH,2.42,7.77,15857272.2,12.72,12,1,行业板块,东财三级行业,0.9230769230769231,11,7.172307692307692,11.741538461538463,32.201076923076926
BK1437.DC,20260401,改性塑料,星辉环材,300834.SZ,2.47,20.0,15577895.8,2.05,21,1,行业板块,东财三级行业,0.9545454545454546,20,19.090909090909093,1.9568181818181818,33.58690909090909
BK1436.DC,20260401,农药,湖南海利,600731.SH,1.35,4.29,26957400.0,1.66,29,5,行业板块,东财三级行业,0.8529411764705882,24,3.6591176470588236,1.4158823529411764,27.008235294117647
BK1435.DC,20260401,磷肥及磷化工,川金诺,300505.SZ,0.14,1.72,22997776.8,2.43,5,3,行业板块,东财三级行业,0.625,2,1.075,1.51875,19.310750000000002
BK1434.DC,20260401,钾肥,藏格矿业,000408.SZ,1.17,3.67,40551812.8,1.56,3,1,行业板块,东财三级行业,0.75,2,2.7525,1.17,23.6355
BK1433.DC,20260401,复合肥,富邦科技,300387.SZ,0.59,1.26,9348913.0,5.1,8,2,行业板块,东财三级行业,0.8,6,1.008,4.08,25.194599999999998
BK1432.DC,20260401,氮肥,华鲁恒升,600426.SH,-0.69,0.83,12159902.9,4.76,2,4,行业板块,东财三级行业,0.3333333333333333,-2,0.2766666666666666,1.5866666666666664,10.165666666666667
BK1431.DC,20260401,有机硅,润禾材料,300727.SZ,1.59,2.55,10709859.2,1.24,10,0,行业板块,东财三级行业,1.0,10,2.55,1.24,31.235000000000003
BK1430.DC,20260401,涂料油墨,东方材料,603110.SH,1.43,2.97,7215977.9,2.23,16,0,行业板块,东财三级行业,1.0,16,2.97,2.23,31.469
BK1429.DC,20260401,食品及饲料添加剂,华恒生物,688639.SH,1.76,4.34,30377716.8,1.45,22,2,行业板块,东财三级行业,0.9166666666666666,20,3.978333333333333,1.3291666666666666,29.089499999999997
BK1428.DC,20260401,其他化学制品,凌玮科技,301373.SZ,1.74,9.44,48780124.8,2.65,70,9,行业板块,东财三级行业,0.8860759493670886,61,8.364556962025315,2.3481012658227844,29.246810126582275
BK1427.DC,20260401,民爆制品,高争民爆,002827.SZ,1.01,3.62,13665651.6,2.5,8,4,行业板块,东财三级行业,0.6666666666666666,4,2.413333333333333,1.6666666666666665,21.119
