trade_date,index_code,index_name,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,source,as_of_date,ingested_at
20260423,399001.SZ,,15234.2164,15248.4311,14934.6762,15043.4494,15177.2862,-0.8818,761022817.0,1570096212300.0,index_daily,20260618,2026-06-18T17:50:41
20260424,399001.SZ,,14951.7408,15033.671,14795.2208,14940.3003,15043.4494,-0.6857,709729438.0,1498859076700.0,index_daily,20260618,2026-06-18T17:50:41
20260427,399001.SZ,,14960.024,15054.4595,14919.216,14995.7483,14940.3003,0.3711,709930001.0,1453399425000.0,index_daily,20260618,2026-06-18T17:50:41
20260428,399001.SZ,,14925.2171,14943.355,14772.4644,14830.4552,14995.7483,-1.1023,723727547.0,1422352274500.0,index_daily,20260618,2026-06-18T17:50:41
20260429,399001.SZ,,14751.4182,15139.7114,14751.4182,15120.9227,14830.4552,1.9586,736380398.0,1463521736300.0,index_daily,20260618,2026-06-18T17:50:41
20260430,399001.SZ,,15157.0678,15186.12,15044.8554,15107.5532,15120.9227,-0.0884,737703742.0,1464716733100.0,index_daily,20260618,2026-06-18T17:50:41
20260506,399001.SZ,,15323.1925,15534.6661,15254.9875,15459.6166,15107.5532,2.3304,826248676.0,1760931025000.0,index_daily,20260618,2026-06-18T17:50:41
20260507,399001.SZ,,15541.2962,15652.582,15439.4844,15641.8855,15459.6166,1.179,844489884.0,1784856104500.0,index_daily,20260618,2026-06-18T17:50:41
20260508,399001.SZ,,15520.3808,15639.3878,15466.8377,15563.7971,15641.8855,-0.4992,826218479.0,1716868864500.0,index_daily,20260618,2026-06-18T17:50:41
20260511,399001.SZ,,15697.4401,15921.6522,15622.332,15899.302,15563.7971,2.1557,911634858.0,1954494738000.0,index_daily,20260618,2026-06-18T17:50:41
20260512,399001.SZ,,15952.7913,15952.7913,15711.2706,15824.9211,15899.302,-0.4678,847817149.0,1777383753900.0,index_daily,20260618,2026-06-18T17:50:41
20260513,399001.SZ,,15713.5418,16100.456,15713.5418,16089.7491,15824.9211,1.6735,827341429.0,1792550090900.0,index_daily,20260618,2026-06-18T17:50:41
20260514,399001.SZ,,16202.2151,16207.7519,15745.736,15745.736,16089.7491,-2.1381,873525491.0,1864136878600.0,index_daily,20260618,2026-06-18T17:50:41
20260515,399001.SZ,,15753.192,15855.5536,15447.4004,15561.372,15745.736,-1.1709,849695631.0,1825236172800.0,index_daily,20260618,2026-06-18T17:50:41
20260518,399001.SZ,,15465.3016,15658.1113,15419.038,15530.2295,15561.372,-0.2001,738305603.0,1578895897800.0,index_daily,20260618,2026-06-18T17:50:41
